,Event.Id,Investigation.Type,Event.Date,Location,Injury.Severity,Aircraft.damage,Make,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Num.Passenger,Total.Injured,Percent.Serious.and.Fatal,Percent.Uninjured,Make.Model
65947,20090217X35840,Accident,2009-02-07,"Terrell, TX",Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,The commercial pilot's failure to maintain adequate airspeed during the approach which resulted in an aerodynamic stall.  Contributing to the accident was the pilot's lack of recent flight experience.,2.0,0.0,0.0,100.0,piperPA-28
65950,20090210X85122,Accident,2009-02-08,"Lakeville, NY",Non-Fatal,Substantial,piper,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,The pilot's failure to maintain aircraft control following a loss of engine power on the left engine for undetermined reasons.,1.0,0.0,0.0,100.0,piperPA-30
65955,20090211X91318,Accident,2009-02-11,"Pittstown, NJ",Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,1.0,1.0,0.0,VMC,,A loss of engine power due to the improper tightening of a fuel hose B-nut by maintenance personnel during engine installation.,2.0,2.0,50.0,0.0,piperPA28
65963,20090217X22015,Accident,2009-02-14,"Steamboat Springs, CO",Non-Fatal,Substantial,cirrus,1.0,Reciprocating,Personal,0.0,1.0,0.0,3.0,VMC,,"The pilot's failure to apply brakes in a timely manner while landing on a snow-packed, ice-covered runway, and his delay in executing a go-around.",4.0,1.0,25.0,75.0,cirrusSR22
65964,20090217X73505,Accident,2009-02-14,"Tulsa, OK",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,,The pilot's improper flare and recovery from a bounced landing.,1.0,0.0,0.0,100.0,cessna152
65965,20090225X14913,Accident,2009-02-14,"Ica, Peru",Non-Fatal,Substantial,cessna,1.0,,,0.0,3.0,0.0,0.0,VMC,,None.,3.0,3.0,100.0,0.0,cessna172
65969,20090225X32012,Accident,2009-02-16,"Reidsville, GA",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,The pilot's failure to maintain control of the airplane during an attempted recovery from a stall/spin.,2.0,0.0,0.0,100.0,cessna172
65970,20090227X91854,Accident,2009-02-16,"Island of Cebaco, Panama",Fatal,Substantial,cessna,1.0,Reciprocating,Unknown,1.0,0.0,2.0,0.0,,,"Not Required. Investigation is being conducted by AAC, Panama.",3.0,3.0,33.33333333333333,0.0,cessna206
65972,20090218X62344,Accident,2009-02-17,"Deltona, FL",Fatal,Substantial,cirrus design corp,1.0,Reciprocating,Instructional,2.0,0.0,0.0,0.0,VMC,,"The pilot receiving instruction's failure to maintain adequate airspeed while maneuvering, which resulted in an aerodynamic stall and subsequent loss of control. Contributing to the accident was the flight instructor's inadequate supervision and both pilots' failure to deploy the ballistic parachute at a higher altitude.",2.0,2.0,100.0,0.0,cirrus design corpSR20
65973,20090223X50804,Incident,2009-02-17,"Grayslake, IL",Non-Fatal,,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,The failure of the number 1 cylinder intake valve which resulted in a partial loss of engine power. Contributing to the incident was the failure of the operator to maintain the engine per manufacturer's recommendations.,2.0,0.0,0.0,100.0,cessna150
65975,20090219X41151,Accident,2009-02-18,"Turlock, CA",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,1.0,0.0,1.0,VMC,,The loss of engine power due to carburetor icing resulting from the pilot's failure to apply carburetor heat. Contributing to the accident was the instructor's inadequate supervision of the flight.,2.0,1.0,50.0,50.0,cessna152
65978,20090220X43946,Accident,2009-02-19,"Nome, AK",Non-Fatal,Substantial,piper,2.0,Reciprocating,,0.0,5.0,1.0,0.0,IMC,,The pilot's continued flight into adverse weather and his failure to maintain clearance from terrain while on approach in flat light conditions.,6.0,6.0,83.33333333333334,0.0,piperPA-31-350
65984,20090220X30535,Accident,2009-02-20,"Tokyo, Japan",Non-Fatal,,boeing,,,,0.0,34.0,4.0,384.0,,,,422.0,38.0,8.056872037914692,90.99526066350711,boeing747
65986,20090220X54937,Accident,2009-02-20,"Caldwell, ID",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,,The loss of engine power due to carburetor icing as a result of the pilot's failure to apply carburetor heat before reducing power and his failure to clear the engine during a prolonged glide.,2.0,2.0,100.0,0.0,cessna182
65987,20090222X33307,Accident,2009-02-20,"Big Bear Lake, CA",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,,The pilot's failure to maintain clearance from terrain while maneuvering in a ravine.  Contributing to the accident was the pilot's decision to continue flight in an area that exceeded the climb rate capabilities of the airplane.,2.0,2.0,100.0,0.0,cessna172N
65989,20090302X10740,Accident,2009-02-20,"Kelleys Island, OH",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,The pilot's failure to maintain aircraft control while landing in gusty winds due to inadequate aileron cable tension.,1.0,0.0,0.0,100.0,cessna182
65993,20090302X84951,Accident,2009-02-21,"Ogden, UT",Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,The loss of directional control during the landing roll due to the separation of the tailwheel spring retaining clip for unknown reasons.,1.0,0.0,0.0,100.0,piperPA-22-160
65995,20090223X03909,Accident,2009-02-22,"Salinas, CA",Non-Fatal,Substantial,champion,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,,The pilot's failure to maintain clearance from a wire while intentionally maneuvering at a low altitude.,2.0,2.0,0.0,0.0,champion7ECA
65996,20090223X64314,Incident,2009-02-22,"Tucson, AZ",Non-Fatal,Minor,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,,The flight instructors inadequate situational awareness while taxiing that led to an encounter with jet blast.,2.0,0.0,0.0,100.0,cessna172H
65997,20090326X23854,Accident,2009-02-22,"Manhattan, KS",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,The pilot's improper recovery from a bounced landing.,2.0,0.0,0.0,100.0,cessna172
66002,20090225X24741,Accident,2009-02-24,"Twentynine Palms, CA",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,The pilot's inadequate compensation for the gusting wind conditions.,2.0,0.0,0.0,100.0,cessnaT210
66007,20090311X30109,Accident,2009-02-24,"Fort Wayne, IN",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,,The student pilot's improper flare and recovery from a bounced landing.,1.0,0.0,0.0,100.0,cessna152
66010,20090302X05757,Accident,2009-02-25,"Johnson County Exec Airport, KS",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,,"The failure of the private pilot to see and avoid the student pilot's airplane, and the failure of the student pilot to avoid the approaching airplane.  Contributing to the accident was the failure of the student pilot to obtain taxi clearance.",3.0,0.0,0.0,100.0,cessna172N
66012,20090227X05843,Accident,2009-02-26,"Ridgeland, SC",Fatal,Substantial,piper,1.0,Reciprocating,Personal,1.0,0.0,1.0,0.0,VMC,,The pilot's failure to maintain control of the airplane during a precautionary landing. Contributing to the accident was a partial loss of engine power for undetermined reasons.,2.0,2.0,50.0,0.0,piperPA-28-140
66013,20090301X10056,Accident,2009-02-26,"Broomfield, CO",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,The pilot and airplane's inability to compensate for the unforecasted gusting wind conditions.,1.0,0.0,0.0,100.0,cessna172N
66015,20101118X60010,Accident,2009-02-26,"Melbourne, FL",Non-Fatal,Substantial,piper,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,,"The student pilot's inadequate crosswind landing technique and the certified flight instructor's delayed remedial action, which resulted in a hard landing.",2.0,0.0,0.0,100.0,piperPA-28-161
66017,20090227X82329,Accident,2009-02-27,"Amargosa Valley, NV",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,,The pilot's failure to maintain adequate airspeed and runway alignment.,4.0,0.0,0.0,100.0,cessnaTR182
66018,20090306X84920,Incident,2009-02-27,",",Non-Fatal,,boeing,2.0,,,0.0,0.0,0.0,131.0,,,.,131.0,0.0,0.0,100.0,boeing737
66020,20090318X44950,Accident,2009-02-27,"Homer, AK",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,"The pilot's failure to maintain directional control  during the landing roll, resulting in a ground loop and substantial damage to the airplane. Factors contributing to the accident were a tailwind, and the pilot's decision to land downwind.",1.0,0.0,0.0,100.0,cessna170B
66021,20090417X21552,Accident,2009-02-27,"Fairbanks, AK",Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,"The pilot's selection of unsuitable terrain for landing, which resulted in the main landing gear collapsing during taxi.",1.0,0.0,0.0,100.0,piperPA-18-150
66023,20090301X03655,Accident,2009-02-28,"Fallbrook, CA",Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,The pilot's improper use of the brakes and his failure to maintain control of the airplane during landing rollout.,1.0,0.0,0.0,100.0,piperPA-28R-200
66024,20090301X04523,Accident,2009-02-28,"Rio Linda, CA",Fatal,Substantial,mooney,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,,"A partial loss of engine power for undetermined reasons and the pilot's failure to maintain an adequate airspeed while maneuvering during the initial climb, which resulted in a stall/spin.",2.0,2.0,100.0,0.0,mooneyM20E
66025,20090302X33132,Accident,2009-02-28,"Liquino, Spain",Fatal,Substantial,cessna,1.0,Reciprocating,Unknown,1.0,0.0,0.0,0.0,,,None.,1.0,1.0,100.0,0.0,cessna172
66029,20090304X60041,Accident,2009-03-01,"Carlisle, AR",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,,The student pilot's improper recovery from a bounced landing.,1.0,0.0,0.0,100.0,cessna172N
66040,20090304X53013,Accident,2009-03-04,"Athens, TX",Non-Fatal,Substantial,beech,1.0,Reciprocating,Unknown,0.0,1.0,0.0,0.0,VMC,,The non-certificated pilot's failure to maintain control during his unauthorized use of the airplane.,1.0,1.0,100.0,0.0,beechA36
66041,20090305X25029,Accident,2009-03-04,"Niigata, Japan",Non-Fatal,,boeing,2.0,,,0.0,0.0,2.0,275.0,,,,277.0,2.0,0.0,99.27797833935018,boeing777
66044,20090305X52415,Accident,2009-03-05,"Crystal River, FL",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,,The student pilot's improper recovery from a bounced landing.,1.0,0.0,0.0,100.0,cessna152
66053,20090310X30501,Accident,2009-03-06,"Oceanside, CA",Fatal,Destroyed,cessna,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,,A loss of aircraft control for undetermined reasons.,1.0,1.0,100.0,0.0,cessna172N
66054,20090311X01405,Accident,2009-03-06,"Cleveland, MS",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,,The inadvertent encounter with a bird in flight.,2.0,0.0,0.0,100.0,cessna172P
66057,20090309X43538,Accident,2009-03-07,"Montauk, NY",Non-Fatal,Substantial,cirrus design corp,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,,The student pilot's failure to maintain directional control during takeoff. Contributing to the accident was the instructor's delayed remedial action.,2.0,0.0,0.0,100.0,cirrus design corpSR22
66059,20090308X12520,Accident,2009-03-08,"Oceanside, CA",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,1.0,2.0,0.0,VMC,,A total loss of engine power in flight due to the fatigue failure of the No. 4 cylinder.,3.0,3.0,33.33333333333333,0.0,cessna172R
66060,20090308X13450,Accident,2009-03-08,"Carrollton, GA",Fatal,Destroyed,cessna,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,IMC,,"The pilot's decision to continue visual flight rules flight into an area of reduced visibility weather conditions, which resulted in disorientation and subsequent loss of aircraft control.",3.0,3.0,100.0,0.0,cessna182P
66064,20090324X14206,Accident,2009-03-08,"Lumberton, MS",Non-Fatal,Substantial,piper,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,Collapse of the landing gear due to worn left main landing gear components.,1.0,0.0,0.0,100.0,piperPA-30
66065,20090401X82317,Accident,2009-03-08,"Querencia, Brazil",Fatal,Destroyed,beech,,Reciprocating,Unknown,1.0,0.0,0.0,0.0,,,,1.0,1.0,100.0,0.0,beechA36
66077,20090312X80102,Accident,2009-03-12,"Darlington, SC",Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,The pilot's failure to maintain directional control during the landing roll. Contributing to the accident were the dark night and the pilot's lack of experience.,2.0,0.0,0.0,100.0,piperPA-28
66078,20090316X41503,Accident,2009-03-12,"Durango, CO",Non-Fatal,Substantial,beech,2.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,,The student pilot's improper landing flare and the flight instructor's delayed remedial action.,2.0,0.0,0.0,100.0,beech58
66086,20090319X45005,Accident,2009-03-14,"Buckland, AK",Non-Fatal,Substantial,piper,2.0,Reciprocating,,0.0,0.0,0.0,1.0,VMC,,The pilot's failure to abort the landing while landing on a snow/ice-covered runway.,1.0,0.0,0.0,100.0,piperPA-31-350
66090,20090316X84733,Accident,2009-03-15,"Gaithersburg, MD",Non-Fatal,Substantial,cirrus design corp,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,IMC,,The pilots spatial disorientation after the passenger door opened during flight in instrument meteorological conditions. Contributing to the accident was the pilots failure to properly secure the door latch.,1.0,0.0,0.0,100.0,cirrus design corpSR22
66097,20090317X85152,Accident,2009-03-17,"Sanford, FL",Non-Fatal,Substantial,piper,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,,An engine air induction explosion for an undetermined reason during repeated engine start attempts.,2.0,0.0,0.0,100.0,piperPA-28-161
66098,20090318X51159,Accident,2009-03-17,"Lafayette, IN",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,The pilot's improper flare. Contributing to the accident were the wind gusts.,1.0,0.0,0.0,100.0,cessna172R
66099,20090319X11514,Accident,2009-03-17,"San Luis Obispo, CA",Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,The pilot's inadequate compensation for the crosswinds during touchdown.,1.0,0.0,0.0,100.0,piperPA-24-250
66106,20090326X63712,Accident,2009-03-18,"Atlanta, GA",Non-Fatal,Substantial,cirrus design corp,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,The failure of the pilot to maintain clearance with a parked airplane.,1.0,0.0,0.0,100.0,cirrus design corpSR22
66112,20090330X65230,Accident,2009-03-19,"Ellensburg, WA",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,,The student pilot's improper flare and improper recovery from a bounced landing.,1.0,0.0,0.0,100.0,cessna152
66113,20090320X44802,Accident,2009-03-20,"Corona, CA",Fatal,Substantial,piper,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,,The pilot did not maintain airplane control during climb due to spatial disorientation while flying in instrument meteorological conditions. Contributing to the accident was the pilot's lack of recent instrument flying experience.,2.0,2.0,100.0,0.0,piperPA-32-300
66118,20090325X92145,Accident,2009-03-20,"Merritt Island, FL",Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,The pilot's failure to maintain directional control during the landing roll.,1.0,0.0,0.0,100.0,piperPA32
66119,20090615X53614,Accident,2009-03-20,"Charleston, MO",Non-Fatal,Substantial,beech,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,"The pilot's inadvertent use of the landing gear selector handle instead of the flap handle during landing rollout, which resulted in the collapse of the nose landing gear.",2.0,0.0,0.0,100.0,beechA36
66120,20090323X53633,Accident,2009-03-21,"Laredo, TX",Non-Fatal,Substantial,beech,1.0,Reciprocating,Personal,0.0,1.0,1.0,0.0,VMC,,The certificated flight instructor's improper fuel management resulting in an engine failure due to fuel starvation.  Contributing to the accident was the flight instructor's failure to properly complete the restart checklist.,2.0,2.0,50.0,0.0,beechA36
66121,20090323X91126,Accident,2009-03-21,"Jackson, WY",Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,The pilot's failure to maintain directional control during the landing roll.,1.0,0.0,0.0,100.0,piperPA-18-150
66129,20090325X03924,Accident,2009-03-23,"Henderson, NV",Non-Fatal,Substantial,beech,2.0,Turbo Prop,,0.0,0.0,0.0,4.0,VMC,,The pilot's failure to monitor and maintain clearance from an obstacle during taxi.,4.0,0.0,0.0,100.0,beech200
66130,20090406X15908,Accident,2009-03-23,"Angel Fire, NM",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,The pilot's failure to maintain directional control during takeoff.  Contributing to the accident was the pilot's decision to take off on an icy runway with high crosswinds.,2.0,0.0,0.0,100.0,cessna210
66132,20090324X62944,Accident,2009-03-24,"Firebaugh, CA",Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,A total loss of engine power due to fuel exhaustion as a result of the pilot's inadequate fuel planning and monitoring.,1.0,0.0,0.0,100.0,piperPA-28-181
66138,20090325X35727,Accident,2009-03-26,"Lexington, KY",Fatal,Substantial,cessna,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,,The pilot's failure to maintain control of the airplane for undetermined reasons.,1.0,1.0,100.0,0.0,cessna182Q
66140,20090327X25149,Accident,2009-03-26,"Dillingham, AK",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,,The pilot's selection of unsuitable terrain for takeoff and his failure to attain adequate airspeed to avoid an aerodynamic stall. Contributing to the accident was the pilot's decision to take off with the airplane over its maximum allowable gross weight.,2.0,2.0,100.0,0.0,cessna170B
66144,20090402X81606,Accident,2009-03-27,"Lugo Di Romagna, Italy",Non-Fatal,Substantial,cirrus design corp,1.0,Reciprocating,,0.0,0.0,0.0,2.0,,,,2.0,0.0,0.0,100.0,cirrus design corpSR22
66146,20090330X04858,Accident,2009-03-28,"Sedona, AZ",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Positioning,0.0,0.0,0.0,1.0,VMC,,"The pilot's failure to achieve the proper touchdown point during a full-stop landing attempt. Contributing to the accident were the pilot's failure to ensure that the aircraft was properly configured for landing, his not initiating a go-around, and a malfunction in one of the main landing gear braking systems.",1.0,0.0,0.0,100.0,cessna182Q
66147,20090330X05339,Accident,2009-03-28,"San Carlos, CA",Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,4.0,0.0,VMC,,A total loss of engine power during the initial climb for undetermined reasons.,4.0,4.0,0.0,0.0,piperPA-28-235
66148,20090330X05818,Accident,2009-03-28,"Madera, CA",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,,A total loss of engine power during the initial climb due to fuel exhaustion as a result of the pilot's failure to properly monitor the airplane's fuel quantity and to correctly ascertain the fuel on board the airplane prior to takeoff.,2.0,2.0,0.0,0.0,cessnaT210L
66151,20090330X10504,Accident,2009-03-29,"Salt Lake City, UT",Non-Fatal,Substantial,cessna,2.0,Turbo Fan,Executive/corporate,0.0,0.0,0.0,3.0,VMC,,The uncommanded retraction of the right main landing gear hydraulic actuator strut for undetermined reasons.,3.0,0.0,0.0,100.0,cessna550
66154,20090401X13024,Accident,2009-03-29,"Georgetown, TX",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,1.0,1.0,0.0,VMC,,A loss of engine power due to fuel starvation as a result of the pilot's inadequate fuel management. Contributing to the accident was the pilot's improper engine restart procedures.,2.0,2.0,50.0,0.0,cessnaP210N
66155,20090401X92902,Accident,2009-03-29,"Brunswick, GA",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,,The student pilot's failure to maintain aircraft control while landing in gusting crosswinds.,1.0,0.0,0.0,100.0,cessna150L
66159,20090401X11722,Accident,2009-04-01,"Sherwood, OR",Fatal,Substantial,piper,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,,"The pilots continued visual flight into instrument meteorological conditions, resulting in spatial disorientation and a loss of control.",2.0,2.0,100.0,0.0,piperPA-22-150
66162,20090413X02042,Accident,2009-04-01,"Salem, IN",Non-Fatal,Substantial,mooney,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,The pilot's failure to follow the landing checklist and extended the landing gear.,1.0,0.0,0.0,100.0,mooneyM20J
66165,20090403X22132,Incident,2009-04-03,"Northport, FL",Non-Fatal,Minor,cirrus design corp,1.0,Reciprocating,,0.0,0.0,0.0,3.0,VMC,,"Inadequate torque on one of the No. 6 connecting rod bolt retaining nuts, which resulted in the connecting rods separation from the crankshaft and a subsequent total loss of engine power.",3.0,0.0,0.0,100.0,cirrus design corpSR22
66168,20090404X04940,Accident,2009-04-04,"Ocean Isle Beach, NC",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,,"The pilot's failure to divert to an alternate airport resulting in the total loss of engine power due to fuel exhaustion. Contributing to the accident were the pilot's incorrect determination of the fuel load prior to the flight, the lack of placards near the engine-monitoring instrument, and the pilot's reliance of the on-board engine-monitoring instrument instead of the fuel quantity gauges.",2.0,2.0,100.0,0.0,cessna177RG
66172,20090406X12052,Accident,2009-04-04,"Kalispell, MT",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Skydiving,0.0,0.0,0.0,1.0,VMC,,A partial loss of engine power during a go-around for undetermined reasons. Contributing to the accident was a fatigue failure of the right main landing gear spring.,1.0,0.0,0.0,100.0,cessna182
66173,20090406X41140,Accident,2009-04-04,"Snohomish, WA",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,,An in-flight collision with a crow.,1.0,0.0,0.0,100.0,cessna172S
66175,20090407X25858,Accident,2009-04-04,"Skwentna, AK",Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,The pilot's selection of an unsuitable landing/takeoff area with an unfavorable wind.,1.0,0.0,0.0,100.0,piperPA-12
66178,20090406X21848,Accident,2009-04-05,"Sonoma, CA",Non-Fatal,Substantial,beech,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,The pilot's failure to maintain directional control.,2.0,0.0,0.0,100.0,beechA36
66179,20090406X62549,Accident,2009-04-05,"North Little Rock, AR",Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,The pilot's inadequate compensation for the wind conditions during takeoff.,1.0,0.0,0.0,100.0,piperPA-22-160
66180,20090407X73042,Accident,2009-04-05,"Charleston, SC",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,The pilot's failure to extend the landing gear before landing. Contributing to the accident was the diversion of the pilot's attention to an airplane on a converging final approach course.,2.0,0.0,0.0,100.0,cessna172RG
66188,20090408X61009,Accident,2009-04-07,"Richland, WA",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,,The pilot's improper landing flare.,1.0,0.0,0.0,100.0,cessna172L
66197,20090409X03403,Accident,2009-04-09,"Edinburg, TX",Fatal,Destroyed,cessna,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,,A loss of engine power for undetermined reasons. Contributing to the accident was the pilot's failure to select a suitable alternate landing site.,1.0,1.0,100.0,0.0,cessnaT210N
66202,20090414X90637,Accident,2009-04-09,"Burnet, TX",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,The pilot's inadequate compensation for the gusting crosswinds during landing.,2.0,0.0,0.0,100.0,cessna195
66203,20090414X92056,Accident,2009-04-09,"Stigler, OK",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,2.0,1.0,0.0,VMC,,The loss of directional control during takeoff. Contributing to the accident was the pilot's decision to take off with 40-degrees of flaps and with a tailwind.,3.0,3.0,66.66666666666666,0.0,cessna182T
66206,20090410X73921,Accident,2009-04-10,"Nunapitchuk, AK",Non-Fatal,Substantial,piper,1.0,Reciprocating,,0.0,0.0,0.0,1.0,VMC,,The pilot's failure to maintain sufficient airspeed to avoid a stall during the landing approach.,1.0,0.0,0.0,100.0,piperPA-32-300
66207,20090414X30422,Accident,2009-04-10,"Steep, Hampshire, UK, United Kingdom",Fatal,Destroyed,piper,1.0,Reciprocating,,2.0,0.0,0.0,0.0,,,,2.0,2.0,100.0,0.0,piperPA-28-181
66208,20090413X04435,Accident,2009-04-11,"Granger, TX",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,,A loss of engine power due to fuel exhaustion as a result of the pilot's failure to visually verify that sufficient fuel was on board prior to flight.,3.0,0.0,0.0,100.0,cessnaR182
66209,20090413X23002,Accident,2009-04-11,"San Diego, CA",Fatal,Destroyed,piper,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,,"The pilot's failure to maintain control during an en route cruise descent through multiple cloud layers, resulting in an in-flight breakup.",2.0,2.0,100.0,0.0,piperPA-24-250
66212,20090416X24510,Accident,2009-04-11,"Tampa, FL",Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,,The pilot's failure to confirm that the landing gear was retracted prior to the attempted water landing.,1.0,1.0,100.0,0.0,piperPA-18-150
66213,20090618X13510,Accident,2009-04-11,"Vientiane, Latvia",Non-Fatal,Substantial,cessna,1.0,,,0.0,0.0,0.0,13.0,,,,13.0,0.0,0.0,100.0,cessna208
66217,20090414X14441,Accident,2009-04-13,"Dubois, WY",Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,,The pilot's encounter with a windshear/downdraft that exceeded the climb performance capabilities of the airplane.,2.0,2.0,100.0,0.0,piperPA-28-140
66218,20090414X35813,Accident,2009-04-13,"Concepcion, Saint Barthelemy",Fatal,Destroyed,cessna,1.0,,,4.0,0.0,0.0,0.0,VMC,,,4.0,4.0,100.0,0.0,cessna210
66219,20090414X60529,Accident,2009-04-13,"Montrose, CO",Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,,The pilot's failure to maintain directional control during the takeoff roll.,2.0,0.0,0.0,100.0,piperJ3C
66220,20090715X84357,Accident,2009-04-13,"York, PA",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,,The student pilot's improper recovery from a bounced landing.,1.0,0.0,0.0,100.0,cessna172
66222,20090416X72609,Accident,2009-04-14,"Las Vegas, NV",Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,,The pilot's inadequate compensation for the gusty crosswind conditions while landing.,1.0,1.0,100.0,0.0,cessna182A
