,Event.Id,Investigation.Type,Event.Date,Location,Latitude,Longitude,Injury.Severity,Aircraft.damage,Make,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Num.Passenger,Total.Injured,Percent.Serious.and.Fatal,Percent.Uninjured,Make.Model
1191,20020917X02730,Accident,1982-05-14,WV,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1.0,0.0,0.0,100.0,cessna182
1192,20020917X02729,Accident,1982-05-14,SC,,,Non-Fatal,Substantial,cessna,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,2.0,0.0,0.0,100.0,cessna310
1201,20020917X03260,Accident,1982-05-15,NM,,,Non-Fatal,Destroyed,grumman,1.0,Reciprocating,Unknown,0.0,0.0,1.0,0.0,VMC,Takeoff,Probable Cause,1.0,1.0,0.0,0.0,grummanG-164A
1204,20020917X03910,Accident,1982-05-15,NY,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1.0,0.0,0.0,100.0,cessna150H
1206,20020917X03526,Accident,1982-05-15,CA,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Cruise,Probable Cause,4.0,0.0,0.0,100.0,cessna177B
1207,20020917X03267,Accident,1982-05-15,OK,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,1.0,0.0,0.0,100.0,cessna150
1209,20020917X02918,Accident,1982-05-15,MI,,,Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,2.0,0.0,0.0,100.0,piperPA-22-150
1213,20020917X04049,Accident,1982-05-16,NJ,,,Non-Fatal,Destroyed,luscombe,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,2.0,0.0,0.0,100.0,luscombe8A
1214,20020917X03799,Accident,1982-05-16,NE,,,Non-Fatal,Destroyed,cessna,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1.0,0.0,0.0,100.0,cessna182A
1215,20020917X03630,Accident,1982-05-16,AZ,,,Non-Fatal,Destroyed,cessna,1.0,Reciprocating,Personal,0.0,1.0,1.0,1.0,VMC,Landing,Probable Cause,3.0,2.0,33.33333333333333,33.33333333333333,cessna182Q
1217,20020917X03061,Accident,1982-05-16,IL,,,Non-Fatal,Destroyed,piper,1.0,Reciprocating,Personal,0.0,1.0,2.0,0.0,VMC,Descent,Probable Cause,3.0,3.0,33.33333333333333,0.0,piperPA-22
1220,20020917X02869,Accident,1982-05-16,AL,,,Fatal(1),Destroyed,piper,1.0,Reciprocating,Unknown,1.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,1.0,1.0,100.0,0.0,piperJ3C-65
1224,20020917X03807,Accident,1982-05-16,NE,,,Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,2.0,0.0,0.0,100.0,piperPA-38-112
1229,20020917X03262,Accident,1982-05-16,TX,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,1.0,2.0,VMC,Landing,Probable Cause,3.0,1.0,0.0,66.66666666666666,cessna172N
1233,20020917X02740,Accident,1982-05-16,NC,,,Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,2.0,0.0,0.0,100.0,piperJ3C-65
1234,20020917X02733,Accident,1982-05-16,GA,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,Takeoff,Probable Cause,2.0,1.0,0.0,50.0,cessna150
1235,20020917X02732,Accident,1982-05-16,MD,,,Non-Fatal,Substantial,beech,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Landing,Probable Cause,1.0,1.0,0.0,0.0,beechC23
1236,20020917X02731,Accident,1982-05-16,MO,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,1.0,0.0,0.0,100.0,cessna150M
1241,20020917X03912,Accident,1982-05-17,NY,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1.0,0.0,0.0,100.0,cessna172N
1243,20020917X03531,Accident,1982-05-17,CA,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,1.0,0.0,0.0,100.0,cessna172
1246,20020917X03498,Accident,1982-05-17,TX,,,Non-Fatal,Substantial,piper,2.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Cruise,Probable Cause,1.0,1.0,100.0,0.0,piperPA-30
1252,20020917X03801,Accident,1982-05-18,NE,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,1.0,0.0,VMC,Cruise,Probable Cause,1.0,1.0,0.0,0.0,cessna150
1253,20020917X03697,Accident,1982-05-18,CA,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,2.0,0.0,VMC,Descent,Probable Cause,2.0,2.0,0.0,0.0,cessna150
1254,20020917X03124,Accident,1982-05-18,UT,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Standing,Probable Cause,1.0,0.0,0.0,100.0,cessnaT210L
1255,20020917X03121,Accident,1982-05-18,ND,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Climb,Probable Cause,1.0,0.0,0.0,100.0,cessna180
1256,20020917X02923,Accident,1982-05-18,WI,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,1.0,0.0,0.0,100.0,cessna210
1258,20020917X03062,Accident,1982-05-19,MN,,,Fatal(1),Destroyed,cessna,1.0,Reciprocating,Aerial Application,1.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,1.0,1.0,100.0,0.0,cessnaA188
1259,20020917X03916,Accident,1982-05-19,PA,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,2.0,0.0,0.0,100.0,cessna152
1261,20020917X03802,Accident,1982-05-19,NE,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,1.0,0.0,0.0,100.0,cessna152
1262,20020917X03265,Accident,1982-05-19,NM,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1.0,0.0,0.0,100.0,cessna172P
1264,20020917X02924,Accident,1982-05-19,IL,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,2.0,0.0,0.0,100.0,cessnaR182
1267,20020917X03268,Accident,1982-05-19,AR,,,Non-Fatal,Substantial,grumman,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1.0,0.0,0.0,100.0,grummanG-164A
1269,20020917X02833,Accident,1982-05-20,SC,,,Fatal(2),Destroyed,cessna,1.0,Reciprocating,Business,2.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,2.0,2.0,100.0,0.0,cessnaT210M
1271,20020917X03806,Accident,1982-05-20,MO,,,Non-Fatal,Substantial,piper,1.0,Reciprocating,Ferry,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1.0,0.0,0.0,100.0,piperPA-25-235
1272,20020917X03804,Accident,1982-05-20,MO,,,Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,2.0,0.0,0.0,100.0,piperPA-28-140
1273,20020917X03803,Accident,1982-05-20,NE,,,Non-Fatal,Substantial,grumman,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC,Maneuvering,Probable Cause,1.0,0.0,0.0,100.0,grummanG-164A
1276,20020917X03125,Accident,1982-05-20,MT,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1.0,0.0,0.0,100.0,cessna150
1281,20020917X04017,Accident,1982-05-21,PA,,,Fatal(2),Destroyed,cessna,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,2.0,2.0,100.0,0.0,cessna150F
1284,20020917X03917,Accident,1982-05-21,NY,,,Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,Approach,Probable Cause,2.0,1.0,0.0,50.0,piperPA-22-150
1288,20020917X02928,Accident,1982-05-21,IL,,,Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause,2.0,0.0,0.0,100.0,piperPA-28
1296,20020917X04086,Accident,1982-05-22,OR,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Cruise,Probable Cause,2.0,2.0,0.0,0.0,cessna140
1297,20020917X03537,Accident,1982-05-22,CA,,,Non-Fatal,Substantial,grumman,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1.0,0.0,0.0,100.0,grummanG-164A
1298,20020917X03271,Accident,1982-05-22,TX,,,Non-Fatal,Substantial,bellanca,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Climb,Probable Cause,1.0,0.0,0.0,100.0,bellanca7GCBC
1303,20020917X04084,Accident,1982-05-22,WA,,,Non-Fatal,Substantial,bellanca,1.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,2.0,0.0,0.0,100.0,bellanca7ECA
1304,20020917X03538,Accident,1982-05-22,AZ,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1.0,0.0,0.0,100.0,cessna195
1305,20020917X03539,Accident,1982-05-23,AZ,,,Non-Fatal,Destroyed,piper,2.0,Reciprocating,Personal,0.0,0.0,1.0,2.0,VMC,Approach,Probable Cause,3.0,1.0,0.0,66.66666666666666,piperPA-44-180
1307,20020917X02682,Accident,1982-05-23,AK,,,Fatal(4),Destroyed,cessna,1.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,VMC,Landing,Probable Cause,4.0,4.0,100.0,0.0,cessna180
1310,20020917X03542,Accident,1982-05-23,CA,,,Non-Fatal,Substantial,beech,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,2.0,0.0,0.0,100.0,beechC23
1312,20020917X02736,Accident,1982-05-23,MS,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,2.0,0.0,0.0,100.0,cessna170A
1314,20020917X02637,Accident,1982-05-23,AK,,,Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,2.0,2.0,VMC,Takeoff,Probable Cause,4.0,2.0,0.0,50.0,piperPA-28-140
1319,20020917X03459,Accident,1982-05-24,AR,,,Fatal(1),Destroyed,luscombe,1.0,Reciprocating,Personal,1.0,1.0,0.0,0.0,IMC,Takeoff,Probable Cause,2.0,2.0,100.0,0.0,luscombe8A
1321,20020917X03541,Accident,1982-05-24,CA,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Business,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,3.0,0.0,0.0,100.0,cessna182
1323,20020917X02929,Accident,1982-05-24,MI,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1.0,0.0,0.0,100.0,cessna150G
1324,20020917X03543,Accident,1982-05-25,AZ,,,Non-Fatal,Destroyed,cessna,1.0,Reciprocating,Aerial Application,0.0,1.0,0.0,0.0,VMC,Maneuvering,Probable Cause,1.0,1.0,100.0,0.0,cessnaA188
1326,20020917X04125,Accident,1982-05-25,WA,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1.0,0.0,0.0,100.0,cessna150
1330,20020917X03126,Accident,1982-05-25,UT,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1.0,0.0,0.0,100.0,cessna206
1331,20020917X02936,Accident,1982-05-25,IN,,,Non-Fatal,Substantial,cessna,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,2.0,0.0,0.0,100.0,cessna310R
1332,20020917X02738,Accident,1982-05-25,GA,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Go-around,Probable Cause,1.0,0.0,0.0,100.0,cessna172P
1333,20020917X02930,Accident,1982-05-25,MI,,,Non-Fatal,Substantial,cessna,2.0,Reciprocating,Unknown,0.0,0.0,0.0,6.0,VMC,Landing,Probable Cause,6.0,0.0,0.0,100.0,cessna310R
1334,20020917X03544,Accident,1982-05-26,CA,,,Non-Fatal,Destroyed,grumman,1.0,Reciprocating,Aerial Application,0.0,0.0,1.0,0.0,VMC,Maneuvering,Probable Cause,1.0,1.0,0.0,0.0,grummanG-164A
1335,20020917X03277,Accident,1982-05-26,LA,,,Non-Fatal,Destroyed,cessna,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC,Maneuvering,Probable Cause,1.0,0.0,0.0,100.0,cessnaA188B
1338,20020917X03918,Accident,1982-05-26,NY,,,Non-Fatal,Substantial,piper,1.0,Reciprocating,Ferry,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,2.0,0.0,0.0,100.0,piperPA-22-160
1339,20020917X03310,Accident,1982-05-26,LA,,,Non-Fatal,Substantial,beech,2.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1.0,0.0,0.0,100.0,beech58
1340,20020917X03127,Accident,1982-05-26,ND,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1.0,0.0,0.0,100.0,cessna152
1341,20020917X02933,Accident,1982-05-26,OH,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause,2.0,0.0,0.0,100.0,cessna182
1344,20020917X03787,Accident,1982-05-27,FL,,,Non-Fatal,Destroyed,cessna,1.0,Reciprocating,Unknown,0.0,0.0,3.0,0.0,VMC,Takeoff,Probable Cause,3.0,3.0,0.0,0.0,cessna172RG
1346,20020917X03545,Accident,1982-05-27,CA,,,Non-Fatal,Destroyed,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,2.0,0.0,0.0,100.0,cessna172
1348,20020917X03213,Accident,1982-05-27,WY,,,Fatal(1),Destroyed,cessna,1.0,Reciprocating,Aerial Observation,1.0,1.0,0.0,0.0,VMC,Maneuvering,Probable Cause,2.0,2.0,100.0,0.0,cessna172P
1349,20020917X03064,Accident,1982-05-27,MI,,,Fatal(2),Destroyed,cessna,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,Maneuvering,Probable Cause,2.0,2.0,100.0,0.0,cessna172N
1352,20020917X03922,Accident,1982-05-27,CT,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1.0,0.0,0.0,100.0,cessna152
1353,20020917X03546,Accident,1982-05-27,CA,,,Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause,2.0,0.0,0.0,100.0,piperPA-24-250
1358,20020917X02858,Accident,1982-05-27,MD,,,Fatal(1),Substantial,grumman,1.0,Reciprocating,Unknown,1.0,0.0,1.0,0.0,VMC,Cruise,Probable Cause,2.0,2.0,50.0,0.0,grummanG-164A
1359,20020917X02638,Accident,1982-05-27,AK,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,1.0,0.0,0.0,100.0,cessnaU206
1365,20020917X03639,Accident,1982-05-28,CA,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Landing,Probable Cause,1.0,1.0,100.0,0.0,cessna152
1366,20020917X03551,Accident,1982-05-28,AZ,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,1.0,0.0,0.0,100.0,cessna140
1368,20020917X03547,Accident,1982-05-28,AZ,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Landing,Probable Cause,4.0,0.0,0.0,100.0,cessna210
1370,20020917X02935,Accident,1982-05-28,IN,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,7.0,VMC,Cruise,Probable Cause,7.0,0.0,0.0,100.0,cessna172
1371,20020917X02935,Accident,1982-05-28,IN,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,7.0,VMC,Cruise,Probable Cause,7.0,0.0,0.0,100.0,cessna172
1374,20020917X03499,Accident,1982-05-29,TX,,,Fatal(4),Destroyed,cessna,1.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,VMC,Approach,Probable Cause,4.0,4.0,100.0,0.0,cessnaR182
1376,20020917X02683,Accident,1982-05-29,AK,,,Fatal(1),Destroyed,piper,1.0,Reciprocating,Personal,1.0,0.0,2.0,0.0,VMC,Maneuvering,Probable Cause,3.0,3.0,33.33333333333333,0.0,piperPA-18
1378,20020917X03281,Accident,1982-05-29,TX,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,5.0,VMC,Landing,Probable Cause,5.0,0.0,0.0,100.0,cessna177
1380,20020917X02939,Accident,1982-05-29,MN,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Landing,Probable Cause,4.0,0.0,0.0,100.0,cessna182
1383,20020917X02835,Accident,1982-05-29,VA,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,4.0,0.0,0.0,VMC,Approach,Probable Cause,4.0,4.0,100.0,0.0,cessnaU206G
1386,20020917X02640,Accident,1982-05-29,AK,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,2.0,0.0,0.0,100.0,cessna150
1393,20020917X02741,Accident,1982-05-30,NC,,,Non-Fatal,Destroyed,piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Cruise,Probable Cause,4.0,0.0,0.0,100.0,piperPA-22-150
1395,20020917X03656,Accident,1982-05-30,CA,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1.0,0.0,0.0,100.0,cessnaT210N
1400,20020917X02742,Accident,1982-05-30,SC,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Landing,Probable Cause,4.0,0.0,0.0,100.0,cessnaT210N
1401,20020917X04171,Accident,1982-05-31,OR,,,Fatal(1),Destroyed,piper,1.0,Reciprocating,Personal,1.0,0.0,1.0,0.0,VMC,Takeoff,Probable Cause,2.0,2.0,50.0,0.0,piperPA-18
1403,20020917X03725,Accident,1982-05-31,CA,,,Fatal(1),Destroyed,cessna,1.0,Reciprocating,Unknown,1.0,0.0,0.0,0.0,VMC,Go-around,Probable Cause,1.0,1.0,100.0,0.0,cessna182
1405,20020917X03211,Accident,1982-05-31,MT,,,Non-Fatal,Destroyed,piper,1.0,Reciprocating,Aerial Application,0.0,1.0,0.0,0.0,VMC,Maneuvering,Probable Cause,1.0,1.0,100.0,0.0,piperPA-25-235
1407,20020917X04089,Accident,1982-05-31,OR,,,Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,2.0,0.0,0.0,100.0,piperPA-28R-200
1408,20020917X04087,Accident,1982-05-31,OR,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Takeoff,Probable Cause,4.0,0.0,0.0,100.0,cessna177
1409,20020917X03926,Accident,1982-05-31,NJ,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,2.0,0.0,0.0,100.0,cessna150H
1410,20020917X03924,Accident,1982-05-31,PA,,,Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,2.0,0.0,0.0,100.0,piperPA-24-250
1411,20020917X03741,Accident,1982-05-31,FL,,,Non-Fatal,Substantial,piper,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,1.0,0.0,0.0,100.0,piperPA-38-112
1413,20020917X03206,Accident,1982-05-31,UT,,,Fatal(4),Substantial,cessna,1.0,Reciprocating,Personal,4.0,1.0,0.0,0.0,VMC,Maneuvering,Probable Cause,5.0,5.0,100.0,0.0,cessna172N
1417,20020917X03811,Accident,1982-06-01,NE,,,Non-Fatal,Destroyed,grumman,1.0,Reciprocating,Aerial Application,0.0,0.0,1.0,0.0,VMC,Maneuvering,Probable Cause,1.0,1.0,0.0,0.0,grummanG-164A
1418,20020917X03285,Accident,1982-06-01,TX,,,Non-Fatal,Destroyed,grumman,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC,Maneuvering,Probable Cause,1.0,0.0,0.0,100.0,grummanG-164A
1420,20020917X03925,Accident,1982-06-01,ME,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Takeoff,Probable Cause,3.0,0.0,0.0,100.0,cessna172P
1422,20020917X03287,Accident,1982-06-01,AR,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,1.0,0.0,0.0,100.0,cessna152
1425,20020917X02744,Accident,1982-06-01,AL,,,Non-Fatal,Substantial,piper,2.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1.0,0.0,0.0,100.0,piperPA-34-200T
1428,20020917X02867,Accident,1982-06-02,GA,,,Fatal(1),Destroyed,aeronca,1.0,Reciprocating,Personal,1.0,0.0,1.0,0.0,VMC,Takeoff,Probable Cause,2.0,2.0,50.0,0.0,aeronca7AC
1431,20020917X03553,Accident,1982-06-02,CA,,,Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,2.0,0.0,0.0,100.0,piperPA-28
1433,20020917X02878,Accident,1982-06-02,TN,,,Non-Fatal,Substantial,piper,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Landing,Probable Cause,1.0,1.0,100.0,0.0,piperPA-28
1434,20020917X02874,Accident,1982-06-02,MS,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Business,0.0,1.0,0.0,0.0,VMC,Takeoff,Probable Cause,1.0,1.0,100.0,0.0,cessna182P
1437,20020917X03657,Accident,1982-06-03,AZ,,,Fatal(3),Destroyed,cessna,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,3.0,3.0,100.0,0.0,cessnaT210N
1438,20020917X02829,Accident,1982-06-03,MS,,,Non-Fatal,Destroyed,cessna,1.0,Reciprocating,Aerial Application,0.0,1.0,0.0,0.0,VMC,Maneuvering,Probable Cause,1.0,1.0,100.0,0.0,cessnaA188B
1441,20020917X04034,Accident,1982-06-03,NY,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,1.0,0.0,0.0,100.0,cessnaA188B
1442,20020917X03288,Accident,1982-06-03,TX,,,Non-Fatal,Substantial,piper,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,1.0,0.0,0.0,100.0,piperPA-25-235
1445,20020917X04020,Accident,1982-06-04,NY,,,Fatal(1),Destroyed,cessna,1.0,Reciprocating,Instructional,1.0,1.0,0.0,0.0,VMC,Approach,Probable Cause,2.0,2.0,100.0,0.0,cessna152
1447,20020917X02836,Accident,1982-06-04,AL,,,Fatal(1),Destroyed,cessna,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Maneuvering,Probable Cause,1.0,1.0,100.0,0.0,cessna172M
1448,20020917X03555,Accident,1982-06-04,NV,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,Landing,Probable Cause,2.0,1.0,0.0,50.0,cessna210
1450,20020917X02745,Accident,1982-06-04,VA,,,Non-Fatal,Substantial,cessna,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Cruise,Probable Cause,2.0,2.0,0.0,0.0,cessna150
1452,20020917X03874,Accident,1982-06-05,IA,,,Fatal(1),Destroyed,cessna,1.0,Reciprocating,Personal,1.0,0.0,3.0,0.0,VMC,Takeoff,Probable Cause,4.0,4.0,25.0,0.0,cessna170B
1454,20020917X03658,Accident,1982-06-05,CA,,,Fatal(2),Destroyed,cessna,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,2.0,2.0,100.0,0.0,cessna172L
1455,20020917X03491,Accident,1982-06-05,LA,,,Non-Fatal,Destroyed,grumman,1.0,Reciprocating,Aerial Application,0.0,0.0,0.0,1.0,VMC,Maneuvering,Probable Cause,1.0,0.0,0.0,100.0,grummanG-164A
1456,20020917X03490,Accident,1982-06-05,LA,,,Fatal(2),Destroyed,piper,1.0,Reciprocating,Personal,2.0,1.0,0.0,0.0,VMC,Takeoff,Probable Cause,3.0,3.0,100.0,0.0,piperPA-28-161
1458,20020917X02837,Accident,1982-06-05,MD,,,Fatal(2),Destroyed,piper,2.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,Approach,Probable Cause,2.0,2.0,100.0,0.0,piperPA-30
1459,20020917X03813,Accident,1982-06-05,NE,,,Non-Fatal,Substantial,piper,1.0,Reciprocating,Aerial Application,0.0,0.0,1.0,0.0,VMC,Takeoff,Probable Cause,1.0,1.0,0.0,0.0,piperPA-25-235
1461,20020917X02948,Accident,1982-06-05,MI,,,Non-Fatal,Substantial,mooney,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,2.0,0.0,0.0,100.0,mooneyM20F
1462,20020917X02746,Accident,1982-06-05,AL,,,Non-Fatal,Substantial,piper,2.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,2.0,0.0,0.0,100.0,piperPA-23-250
